Zeit,"(PDH-CSV 4.0) (Mitteleuropäische Zeit)(-60)","RAM","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","Auslagerungsdatei","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","NetzwerkGesendet","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","NetzwerkEmpfangen","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","FestplatteGeschrieben","FestplatteGelesen","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","CPU","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_2916_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00009030_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5128_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5148_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5796_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_7328_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_8176_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_824_luid_0x00000000_0x00008CD0_phys_0)\Total Committed",,,,,,
02/28/2023 17:51:01.225,"17:51:01.225","24.265946942443481049","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.00934626171533637","0","0","0","0","0","0"," "," "," "," ","0","132.00934626171533637","0","0","8192.5800346664545941","8192.5800346664545941","0","0","0","1.5555104412413256476","0.38354723185346495384","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:51:02.225,"17:51:02.225","24.265946942443481049","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.00634950541120816","0","0","0","0","0","0"," "," "," "," ","0","132.00634950541120816","0","0","8192.3940541540050617","8192.3940541540050617","0","0","0","0","0","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:51:03.225,"17:51:03.225","24.265697068596654873","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.01448198867416295","0","0","0","0","0","0"," "," "," "," ","0","132.01448198867416295","0","0","12289.348141491122078","12289.348141491122078","0","0","0","0","0","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:51:04.225,"17:51:04.225","24.265697068596654873","0","0","0","64.002777720553069685","0","0","0","0","0","0"," "," "," "," ","0","202.00876718049565284","0","0","0","0","0","0"," "," "," "," ","64.002777720553069685","202.00876718049565284","0","0","65538.844385846343357","65538.844385846343357","0","0","0","0","0","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:51:05.224,"17:51:05.224","24.265697068596654873","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.01197348599518477","0","0","0","0","0","0"," "," "," "," ","0","132.01197348599518477","0","0","12289.114622696279184","12289.114622696279184","0","0","0","0","0","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:51:06.224,"17:51:06.224","24.265447194749825144","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.0095046843372586","0","0","0","0","0","0"," "," "," "," ","0","132.0095046843372586","0","0","8192.5898664703854593","8192.5898664703854593","3.1183926743803880299","0","0","0","0.77448281972830601561","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:51:07.224,"17:51:07.224","24.265447194749825144","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.01099651600978291","0","0","0","0","0","0"," "," "," "," ","0","132.01099651600978291","0","0","1033814.116715922486","1033814.116715922486","0","0","0","3.1182764083827363422","0.77436374084361991876","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:51:08.224,"17:51:08.224","24.263989651637150047","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.00318127666875512","0","0","0","0","0","0"," "," "," "," ","0","132.00318127666875512","0","0","8192.1974319581095187","8192.1974319581095187","0","0","0","0","0","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:51:09.224,"17:51:09.224","24.263989651637150047","0","0","0","64.004390701202098057","0","0","0","0","0","0"," "," "," "," ","0","202.01385815066913665","0","0","0","0","0","0"," "," "," "," ","64.004390701202098057","202.01385815066913665","0","0","57347.934068277085316","57347.934068277085316","0","0","0","0","0","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:51:10.224,"17:51:10.224","24.263989651637150047","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.00681155147606205","0","0","0","0","0","0"," "," "," "," ","0","132.00681155147606205","0","0","12288.634093519225644","12288.634093519225644","0","0","0","0","0","63320064","2277376","2306048","4718592","16797696","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
