Zeit,"RAM","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","Auslagerungsdatei","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","NetzwerkGesendet","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","NetzwerkEmpfangen","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","FestplatteGeschrieben","FestplatteGelesen","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","CPU","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_2916_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00009030_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5128_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5148_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5796_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_7328_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_8176_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_824_luid_0x00000000_0x00008CD0_phys_0)\Total Committed",,,,
03/01/2023 15:03:07.902,"24.242584506106233277","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.09775828167946088","0","0","0","0","0","0"," "," "," "," ","0","134.09775828167946088","0","0","12483.282225494524027","12483.282225494524027","0","0","0","0","0","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:08.917,"24.242334632259403548","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.98229778964119419","0","0","0","0","0","0"," "," "," "," ","0","129.98229778964119419","0","0","8066.7801779753081064","8066.7801779753081064","0","0","0","1.5314808779059330135","0.37755784286984672704","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:09.902,"24.233797547461882971","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.09369878471488846","0","0","0","0","0","0"," "," "," "," ","0","134.09369878471488846","0","0","12482.904323231641683","12482.904323231641683","1.580982773954353604","0","0","0","0.39042506652872122075","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:10.917,"24.225760210358014746","0","0","0","63.021676699586294035","0","0","0","0","0","0"," "," "," "," ","0","198.91216708306924943","0","0","0","0","0","0"," "," "," "," ","63.021676699586294035","198.91216708306924943","0","0","8066.7746175470456365","8066.7746175470456365","0","0","0","0","0","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:11.901,"24.224968981981504612","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.10252646112067509","0","0","0","0","0","0"," "," "," "," ","0","134.10252646112067509","0","0","16644.968132871221314","16644.968132871221314","0","0","0","0","0","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:12.917,"24.216889991475476052","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.98091545361813814","0","0","0","0","0","0"," "," "," "," ","0","129.98091545361813814","0","0","137133.80461918693618","137133.80461918693618","0","0","1.5318202384603907262","0","0.37790118028884212009","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:13.901,"24.215848889252136189","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.10447470058127806","0","0","0","0","0","0"," "," "," "," ","0","134.10447470058127806","0","0","8322.6049753572860936","8322.6049753572860936","1.5804828331979381417","0","1.5804828331979381417","0","0.78677704959470018409","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:14.901,"24.210934858818291104","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.99353231691648602","0","0","0","0","0","0"," "," "," "," ","0","131.99353231691648602","0","0","69628.588199178237119","69628.588199178237119","3.1292429391592602173","0.0043798081644008668434","0.0043798081644008668434","0.0043798081644008668434","0.78559559091311292889","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:15.917,"24.210684984971461375","0","0","0","252.05798948504653367","0","0","0","0","0","0"," "," "," "," ","0","343.62593097766108485","0","0","0","0","0","0"," "," "," "," ","252.05798948504653367","343.62593097766108485","0","0","12098.783495282234071","12098.783495282234071","3.0705096253507146997","0","0","0","0.76266461643049732189","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
03/01/2023 15:03:16.901,"24.210435134407699564","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.11623345937888985","0","0","0","0","0","0"," "," "," "," ","0","134.11623345937888985","0","0","8323.3347310547869711","8323.3347310547869711","0","0","0","0","0","65556480","2273280","23588864"," ","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","28499968","13713408",32768,1880064,4132864,36864
