"(PDH-CSV 4.0) (Mitteleurop�ische Zeit)(-60)","RAM","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","\\DJ-TESLA\Auslagerungsdatei(_Total)\Belegung (%)","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes gelesen/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes gelesen/s","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(_Total)\Prozessorzeit (%)"
"03/14/2023 14:49:52.135","18.551062727009657749","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","703.03961244202878333","0","0","0","0","0","0"," "," "," "," ","0","703.03961244202878333","0","0","12099.370809086343797","12099.370809086343797","1.5318784143205754766","1.5318784143205754766","0","9.224700413201780691","3.07044281409681874"
"03/14/2023 14:49:53.119","18.561682016253865157","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","362.70635019572426927","0","0","0","0","0","0"," "," "," "," ","0","362.70635019572426927","24448.643168375096138","24448.643168375096138","20807.355887978803366","20807.355887978803366","1.5806128182832224205","0","1.5806128182832224205","6.3428412303017767115","2.3743175536196425846"
"03/14/2023 14:49:54.135","18.520662425672789198","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","256.0184774443289939","0","0","0","0","0","0"," "," "," "," ","0","256.0184774443289939","0","0","80665.514123997825664","80665.514123997825664","0","1.5316941905275105462","0","0","0.37777365523804506964"
"03/14/2023 14:49:55.132","18.419300280143342974","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","2506.4855313122702682","0","0","0","0","0","0"," "," "," "," ","0","2506.4855313122702682","222784.45477673478308","222784.45477673478308","229971.05009211332072","229971.05009211332072","1.3047573738818929456","4.4379396794729464304","0","0","0.91310457259131672103"
"03/14/2023 14:49:56.117","18.417717800107251236","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","328.87604783563017463","0","0","0","0","0","0"," "," "," "," ","0","328.87604783563017463","0","0","212039.78669343149522","212039.78669343149522","1.6690430192734750925","1.6690430192734750925","0.083059842164989738933","3.2550261963819715483","1.6690430192734750925"
"03/14/2023 14:49:57.130","18.416884895045516402","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","3669.9074306342072305","0","0","0","0","0","0"," "," "," "," ","0","3669.9074306342072305","0","0","29327.656367091876746","29327.656367091876746","1.2390353107977980507","2.7821753840665763846","1.2390353107977980507","2.7821753840665763846","2.0106053474321816665"
"03/14/2023 14:49:58.144","18.416385170634924862","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","130.18752921822388657","0","0","0","0","0","0"," "," "," "," ","0","130.18752921822388657","0","0","41407.524444681148452","41407.524444681148452","1.3739885532678575153","0","1.3739885532678575153","2.9150199821230460273","1.3739885532678575153"
"03/14/2023 14:49:59.143","18.407265077905556439","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","280.2743886264652815","0","0","0","0","0","0"," "," "," "," ","0","280.2743886264652815","24600.083481728612242","24600.083481728612242","172200.58437210027478","172200.58437210027478","1.4693688474345933948","7.7252819364863718476","4.5973253919604832873","7.7252819364863718476","5.3793145280919496543"
"03/14/2023 14:50:00.127","18.410305101054326826","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","3254.9553495099739848","0","0","0","0","0","0"," "," "," "," ","0","3254.9553495099739848","0","0","1129749.8956920909695","1129749.8956920909695","3.1679829386684676962","0","0","0","0.78686776502916444542"
"03/14/2023 14:50:01.143","18.3939805529997642","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","823.19317222313861748","0","0","0","0","0","0"," "," "," "," ","0","823.19317222313861748","0","0","590871.51638385816477","590871.51638385816477","3.0704141806740858911","1.5318493263990706765","0","0","1.1472130362378596402"
"03/14/2023 14:50:02.127","18.393189324623250513","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.10417496774897472","0","0","0","0","0","0"," "," "," "," ","0","134.10417496774897472","0","0","8322.5863737560575828","8322.5863737560575828","4.7554414359242347388","0","0","3.1680321265229682837","1.9774700647622323046"
"03/14/2023 14:50:03.143","18.392606293408341855","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","1390.3846629149256842","0","0","0","0","0","0"," "," "," "," ","0","1390.3846629149256842","0","0","12099.891457435272969","12099.891457435272969","0","0","0","3.070366458265283427","0.76251804060494254855"
"03/14/2023 14:50:04.127","18.392606293408341855","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","2669.9027893270940694","0","0","0","0","0","0"," "," "," "," ","0","2669.9027893270940694","0","0","12483.929024068238505","12483.929024068238505","1.5806628124553578907","1.5806628124553578907","0","1.5806628124553578907","1.1838157260842807617"
"03/14/2023 14:50:05.131","18.390399152038245489","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.45574691661582278","0","0","0","0","0","0"," "," "," "," ","0","131.45574691661582278","0","0","857123.33795619383454","857123.33795619383454","0","0","1.9718069173971009","0.4158038525938767549","0.026798107183267916298"
"03/14/2023 14:50:06.126","18.3880254203425757","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","1418.6862683828885565","0","0","0","0","0","0"," "," "," "," ","0","1418.6862683828885565","0","0","8230.7917213828768581","8230.7917213828768581","2.662647575985932491","1.0926902788244152731","0","2.662647575985932491","1.4851846269781421306"
"03/14/2023 14:50:07.138","18.386776097674569996","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","130.46197078027424254","0","0","0","0","0","0"," "," "," "," ","0","130.46197078027424254","0","0","790425.59363408829086","790425.59363408829086","0","0","0","0","0"
"03/14/2023 14:50:08.122","18.385901562493735639","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.1042430887295609","0","0","0","0","0","0"," "," "," "," ","0","134.1042430887295609","0","0","37971.81961882088217","37971.81961882088217","1.5807628006472729254","0","0","3.1681698522497359072","1.1839059580440958186"
"03/14/2023 14:50:09.124","18.384902113672556112","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.85553907139339458","0","0","0","0","0","0"," "," "," "," ","0","131.85553907139339458","0","0","61372.760004139468947","61372.760004139468947","1.6701809848035376049","0.10939020678455424473","0.10939020678455424473","1.6701809848035376049","0.88978559579404592483"
"03/14/2023 14:50:10.138","18.3970205994315954","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","130.10217357364649615","0","0","0","0","0","0"," "," "," "," ","0","130.10217357364649615","0","0","12111.329612674002419","12111.329612674002419","2.9775721107645036767","2.9775721107645036767","1.4375335728401217317","7.5976877245376162051","3.7475913797266890981"
"03/14/2023 14:50:11.133","18.396770725584769224","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.65911682192975718","0","0","0","0","0","0"," "," "," "," ","0","132.65911682192975718","0","0","8232.905189433700798","8232.905189433700798","2.641899368858213748","2.641899368858213748","1.0716074231946315365","1.0716074231946315365","1.8567533960264226423"
